Type,Value,Description
domain,biillpi.com,Mar-21
domain,chainnss.com,Mar-21
domain,chishir.com,Mar-21
domain,domaindef.com,Mar-21
domain,ericrause.com,Mar-21
domain,fastbloodhunter.com,Mar-21
domain,kostunivo.com,Mar-21
domain,mn.fastbloodhunter.com,Mar-21
domain,ns1.biillpi.com,Mar-21
domain,ns1.chishir.com,Mar-21
domain,ns1.domaindef.com,Mar-21
domain,ns1.ericrause.com,Mar-21
domain,ns1.kostunivo.com,Mar-21
domain,ns1.onixcellent.com,Mar-21
domain,ns1.westurn.in,Mar-21
domain,ns1.xiconum.com,Mar-21
domain,ns2.biillpi.com,Mar-21
domain,ns2.chishir.com,Mar-21
domain,ns2.domaindef.com,Mar-21
domain,ns2.ericrause.com,Mar-21
domain,ns2.kostunivo.com,Mar-21
domain,ns2.onixcellent.com,Mar-21
domain,ns2.westurn.in,Mar-21
domain,ns2.xiconum.com,Mar-21
domain,onixcellent.com,Mar-21
domain,westurn.in,Mar-21
domain,xiconum.com,Mar-21
url,http://217.182.54.209:80/download/windll1.exe,Mar-21
url,https://frankmatinlawrence.com/P32.exe,Mar-21
url,https://gruporedessa.com/updater.exe,Mar-21
domain,frankmatinlawrence.com,Mar-21
domain,gruporedessa.com,Mar-21
domain,1k22.xyz,Jan-21
domain,360live.digital,Jan-21
domain,3as0n.cn,Jan-21
domain,509563c.tk,Jan-21
domain,7baa6fb807.15521b1201895f2a314827baa6fb807c.cc,Jan-21
domain,actu.banquealtantique.net,Jan-21
domain,adv3.97kj.info,Jan-21
domain,agesk.com,Jan-21
domain,amajai-technologies.site,Jan-21
domain,amajai-technologies.trade,Jan-21
domain,amajai-technologies.work,Jan-21
domain,amajai-technologies.world,Jan-21
domain,ap.availablenationwide.com,Jan-21
domain,api.healthychallenges.org,Jan-21
domain,api.ms.global.prod.fastly.net,Jan-21
domain,api.myperfnow.com,Jan-21
domain,api.onedriev.tk,Jan-21
domain,api.online.global.prod.fastly.net,Jan-21
domain,app.cloud3k.com,Jan-21
domain,app.manilahotelservice.com,Jan-21
domain,apricotserum.xyz,Jan-21
domain,as.hashsystem.xyz,Jan-21
domain,as.removerchangefile.monster,Jan-21
domain,as.societyforsurveillanceonmind-expandingcontraceptivesubstances.monster,Jan-21
domain,askside.com,Jan-21
domain,athena.francecentral.cloudapp.azure.com,Jan-21
domain,avetool.com,Jan-21
domain,avsix.com,Jan-21
domain,axiommortgagebankers.com,Jan-21
domain,azuredr.azureedge.net,Jan-21
domain,azureupd.azureedge.net,Jan-21
domain,backupsec.com,Jan-21
domain,ballom.com,Jan-21
domain,banking.capitalviewfinance.com,Jan-21
domain,bestbookstore.org,Jan-21
domain,bidgummer.com,Jan-21
domain,blackrato.ga,Jan-21
domain,blaine.cinnabarisland.us,Jan-21
domain,blog.chat5l88.com,Jan-21
domain,book.baibu.ga,Jan-21
domain,bookwsax.com,Jan-21
domain,brusses.com,Jan-21
domain,business.azureedge.net,Jan-21
domain,buy9182.com,Jan-21
domain,c.w3-c.com,Jan-21
domain,c2.thestronghold.xyz,Jan-21
domain,c2cgy.flashi.com.cn,Jan-21
domain,c9s.eu,Jan-21
domain,cache.stata.buzz,Jan-21
domain,cachemaster.azureedge.net,Jan-21
domain,carpricelow.com,Jan-21
domain,cc2.0x3.eu,Jan-21
domain,cdn.baiduanalyst.xyz,Jan-21
domain,cdn.sogou-update.com,Jan-21
domain,cdn.surviewsuccess.com,Jan-21
domain,cdn.test.optumshadow.org.global.prod.fastly.net,Jan-21
domain,cdn.us-west-4.sfo.prod.global.prod.fastly.net,Jan-21
domain,cdn.vigfinancialllc.com,Jan-21
domain,cdn1.srv-spotlfy.com,Jan-21
domain,cdn-api-jquery.xyz,Jan-21
domain,cdn-cloudflare.org,Jan-21
domain,cdns.blogsite.org,Jan-21
domain,cdns.microsoftcdns.com,Jan-21
domain,cdnserver.mstcdn.com,Jan-21
domain,cdnsftv.azureedge.net,Jan-21
domain,cdnsfvq.azureedge.net,Jan-21
domain,chasmlance.com,Jan-21
domain,chinhsachnhao.feytle.com,Jan-21
domain,chromeupdates.best,Jan-21
domain,cityfar.com,Jan-21
domain,CLIENT.ELISEA-MUTUELLE.fr,Jan-21
domain,cloud.sogoucloudupdate.com,Jan-21
domain,cloudapicdn.com,Jan-21
domain,clubuz.com,Jan-21
domain,cobcsaaa.flash-english.us,Jan-21
domain,codejquery.uk.to,Jan-21
domain,codir.ocitnetad.com,Jan-21
domain,content-tracker2.azureedge.net,Jan-21
domain,content-trackers2.azureedge.net,Jan-21
domain,contmetric.com,Jan-21
domain,crm.avalanchecapital.de,Jan-21
domain,cs.swyiic.top,Jan-21
domain,cs.yourintrinsichealth.com,Jan-21
domain,cs201020.vi-05.com,Jan-21
domain,csxeiaweuao781cs.cf,Jan-21
domain,cts-cdn-colo-3.azureedge.net,Jan-21
domain,cuphq.com,Jan-21
domain,cwsedge.net,Jan-21
domain,cymkpuadkduz.xyz,Jan-21
domain,d18apeaghqw12n.cloudfront.net,Jan-21
domain,d1eppgb34xgtje.cloudfront.net,Jan-21
domain,d1pzf8j3s3tz7y.cloudfront.net,Jan-21
domain,d1zdntpbfh7kt9.cloudfront.net,Jan-21
domain,d2qbce1fkipgyc.cloudfront.net,Jan-21
domain,d2wmfh2cu5kvcp.cloudfront.net,Jan-21
domain,d30qpb9e10re4o.cloudfront.net,Jan-21
domain,d37vvfpyclbf9b.cloudfront.net,Jan-21
domain,d3kgm44zuz83i3.cloudfront.net,Jan-21
domain,D87AMK1.azureedge.net,Jan-21
domain,dangky.dinefilly.com,Jan-21
domain,datacatapult.sytes.net,Jan-21
domain,data-protection-testing.com,Jan-21
domain,dataprotocol.site,Jan-21
domain,dbhigh.com,Jan-21
domain,dchob8ohc6vt3.cloudfront.net,Jan-21
domain,de.lightroomsrv.com,Jan-21
domain,dealeva.com,Jan-21
domain,deckerx.com,Jan-21
domain,dennycartos.online,Jan-21
domain,deresd.net,Jan-21
domain,derih.net,Jan-21
domain,devops.it.global.prod.fastly.net,Jan-21
domain,djiqowenlsakdj.com,Jan-21
domain,dns.grosspork.com,Jan-21
domain,dns12.org,Jan-21
domain,dns20.net,Jan-21
domain,dns25.net,Jan-21
domain,docns.com,Jan-21
domain,domain-front-bvh.azureedge.net,Jan-21
domain,domways.com,Jan-21
domain,down.ddnsfree.com,Jan-21
domain,download.mssecinfo.com,Jan-21
domain,dsmivsbczr14x.cloudfront.net,Jan-21
